id,name (HL),NAME (SF),,,,,
25,MoneyBug Absentee Postcard,Office Direct Mail,,,,,
41,MoneyBug Atlanta Email,Email Marketing,,,,,
1521,MoneyBug Austin Seliger,Purchased Lead,,,,,
2552,Moneybug Constant Contact Austin,Email Marketing,,,,,
51,Moneybug FB SEM San Antonio,Moneybug Website,,,,,
26,MoneyBug High Equity Postcard,Office Direct Mail,,,,,
43,MoneyBug Los Angeles Email,Email Marketing,,,,,
1330,Moneybug Mailchimp Austin,Email Marketing,,,,,
40,Moneybug MailChimp Dallas,Email Marketing,,,,,
1329,MoneyBug MailChimp Fort Worth,Email Marketing,,,,,
1663,MoneyBug Mailchimp Houston,Email Marketing,,,,,
1355,MoneyBug MailChimp Philadelphia,Email Marketing,,,,,
1844,MoneyBug MailChimp San Antonio,Email Marketing,,,,,
3453,MoneyBug MDR,MoneyBug MDR,,,,,
42,Moneybug Philadelphia Email,Email Marketing,,,,,
2253,MoneyBug Philadelphia THEO Leads,Purchased Lead,,,,,
27,MoneyBug Probate Letters,Office Direct Mail,,,,,
52,MoneyBug Radio San Antonio,Other,,,,,
47,MoneyBug Referral,Referral,,,,,
38,Moneybug SEM Atlanta,Moneybug Website,,,,,
50,MoneyBug SEM Austin,Moneybug Website,,,,,
36,Moneybug SEM Dallas,Moneybug Website,,,,,
48,Moneybug SEM Fort Worth,Moneybug Website,,,,,
37,Moneybug SEM Houston,Moneybug Website,,,,,
49,MoneyBug SEM Los Angeles,Moneybug Website,,,,,
1323,Moneybug SEM Philadelphia,Moneybug Website,,,,,
39,Moneybug SEM San Antonio,Moneybug Website,,,,,
35,MoneyBug Site-Adword Calls,Moneybug Website,,,,,
34,MoneyBug Site-MailChimp,Email Marketing,,,,,
33,MoneyBug Site-Randy,Moneybug Website,,,,,
31,Moneybug Stickers,Other,,,,,
32,Moneybug Unknown,Other,,,,,
28,MoneyBug Website,Moneybug Website,,,,,
29,MoneyBug Yellow Letter,Office Direct Mail,,,,,
2989,MoneyBug Yellow Letter-Austin,Office Direct Mail,,,,,
11,Manual MLS Research,MLS Research,,,,,
9,MLS Agent List,MLS Research,,,,,
19,Auction,Other,,,,,
46,BiggerPockets,REI Website,,,,,
44,Bush Buy,Bush Buy,,,,,
1336,Craigslist,REI Online Marketplace,,,,,
8,Deal Scalper,Deal Scalper,,,,,
1337,E-mail Blast,Email Marketing,,,,,
1326,Facebook,Social Media,,,,,
12,Flipper Contact,Referral,,,,,
23,FSBO,Other,,,,,
1331,Glassdoor,Social Media,,,,,
45,Homevestors Franchise,Referral,,,,,
24,ICC LEAD,Purchased Lead,,,,,
20,Import,Other,,,,,
1364,Manually Entered,Other,,,,,
15,Misc Online Posting,REI Online Marketplace,,,,,
14,Newspaper Ad,Other,,,,,
21,Other,Other,,,,,
1338,Other (Explain where),Other,,,,,
10,Paid Affiliate web lead,Purchased Lead,,,,,
1334,Referral (Employee Name Referred by),Referral,,,,,
16,Road Sign,Other,,,,,
13,Sticker,Other,,,,,
30,Yellow Pages,Other,,,,,
1328,Zillow FISBO,REI Online Marketplace,,,,,
3668,HomeGo Agent Microsite,,,,,,
3661,HomeGo FLS List,,,,,,
3667,HomeGo Office Microsite,,,,,,
4575,HomeGo Partner 4% min holdback,,,,,,
